"x","y"
0,0.994395243534478
0.241379310344828,0.999030545392496
0.482758620689655,0.36838528253895
0.724137931034483,-0.376798597656495
0.96551724137931,-0.808570482632199
1.20689655172414,-0.706188381304578
1.44827586206897,-0.143792034660659
1.68965517241379,0.643340322302682
1.93103448275862,1.32922956884707
2.17241379310345,1.61776688313806
2.41379310344828,1.47564968804867
2.6551724137931,1.05429928112489
2.89655172413793,0.721589162008998
3.13793103448276,0.768926175247737
3.37931034482759,1.31191393507972
3.62068965517241,2.2485490686626
3.86206896551724,3.18682250583306
4.10344827586207,3.79368924403638
4.3448275862069,3.91706665329071
4.58620689655172,3.498434828173
4.82758620689655,2.8411173357516
5.06896551724138,2.30928325709874
5.31034482758621,2.14542398728784
5.55172413793103,2.43292758848167
5.79310344827586,2.97171579207901
6.03448275862069,3.42013462270533
6.27586206896552,3.52062679279024
6.51724137931035,3.08594125004779
6.75862068965517,2.27461571924947
7,1.45357360133223
